bet_target_name,external_league_id,league_name,sport_id,sport_name
FK Ventspils,3274,2020 LMT Virsliga,soccer,Soccer
Hanshin Tigers,3377,2020 Nippon Professional Baseball,baseball,Baseball
"Stolze, N",2897,2020 Ultimate Fighting Championship,mma,MMA
FC Dornbirn,2548,2019/2020 Austria 2. Liga,soccer,Soccer
Calgary Flames,321,NHL,ice-hockey,Hockey
"Nogueira, A",2897,2020 Ultimate Fighting Championship,mma,MMA
GAIS,3284,2020 Superettan,soccer,Soccer
Club León,2928,2020 Liga BBVA Bancomer,soccer,Soccer
Sporting Kansas City,3053,2020 MLS,soccer,Soccer
Vitoria de Guimaraes,1283,2019/2020 Liga NOS,soccer,Soccer
Washington Football Team,319,NFL,american-football,Football
Gangwon FC,3188,2020 Korea Republic K-League 1,soccer,Soccer
Vegalta Sendai,3139,2020 J. League,soccer,Soccer
Saint-Étienne,2828,2019/2020 Coupe de France,soccer,Soccer
"Mendez, S",3333,2020 US Pro Tennis Series Women,tennis,Tennis
Wolverhampton Wanderers,1180,England Premier League,soccer,Soccer
Chicago Cubs,373,MLB,baseball,Baseball
Shanghai SIPG,3155,2020 Chinese Super League,soccer,Soccer
Marítimo,1283,2019/2020 Liga NOS,soccer,Soccer
"Meteleshko, I",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Portland Trail Blazers,320,NBA,basketball,Basketball
Burnley,1180,England Premier League,soccer,Soccer
FC Vitebsk,3294,2020 Belarusian Vysshaya Liga,soccer,Soccer
"Ronson, J",2897,2020 Ultimate Fighting Championship,mma,MMA
NULL,3154,2020 NASCAR Xfinity Series,motor-sports,Motor Racing
Cleveland Browns,319,NFL,american-football,Football
"Grillo, E",3444,2020 3M Open,golf,Golf
Napoli,2398,2019/2020 Serie A TIM,soccer,Soccer
San Antonio FC,3227,2020 USL,soccer,Soccer
"Yanshaev, A",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Montreal Impact,3053,2020 MLS,soccer,Soccer
Tallinna FC Levadia U21,3251,2020 Esiliiga A,soccer,Soccer
Maardu Linnameeskond,3251,2020 Esiliiga A,soccer,Soccer
AIK,3285,2020 Allsvenskan,soccer,Soccer
"Serebrennikov, A",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Colorado Rockies,373,MLB,baseball,Baseball
"Shirokov, V",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
North Eastern MetroStars,3288,2020 PS4 National Premier Leagues South,soccer,Soccer
"Rua, M",2897,2020 Ultimate Fighting Championship,mma,MMA
Rio Ave,1283,2019/2020 Liga NOS,soccer,Soccer
"Brehm, R",3444,2020 3M Open,golf,Golf
FC Barcelona,1181,2019/2020 Liga de Fútbol Profesional,soccer,Soccer
Santos de Guápiles,3350,2020 Union de Clubes de Primera División,soccer,Soccer
Shimizu S-Pulse,3139,2020 J. League,soccer,Soccer
New Zealand Warriors,3296,2020 Telstra Premiership,rugby-league,Rugby League
Cittadella,2399,2019/2020 Serie B Eurobet,soccer,Soccer
Maccabi Rishon Le-Zion,3397,2019/2020 Ligat HaAl,basketball,Basketball
Brisbane City,3292,2020 PS4 National Premier Leagues Queensland,soccer,Soccer
Neuchâtel Xamax,1162,2019/2020 Raiffeisen Super League,soccer,Soccer
FC Baník Ostrava,921,2019/2020 SYNOT Liga,soccer,Soccer
"Ivanov, Valeri",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
"Craig, P",2897,2020 Ultimate Fighting Championship,mma,MMA
FC Mariupol,1214,2019/2020 Premier League,soccer,Soccer
"Stefani, S",3444,2020 3M Open,golf,Golf
FC Slutsk,3294,2020 Belarusian Vysshaya Liga,soccer,Soccer
Trapani,2399,2019/2020 Serie B Eurobet,soccer,Soccer
SK Super Nova,3417,2020 Latvia 1. Liga,soccer,Soccer
"Smirnov, I",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
New Mexico United,3227,2020 USL,soccer,Soccer
Denver Broncos,319,NFL,american-football,Football
Olympique Lyonnais,2375,2019/2020 Coupe de la Ligue,soccer,Soccer
Club América,2928,2020 Liga BBVA Bancomer,soccer,Soccer
Mike Pero Nelson Giants,3406,2020 New Zealand Sal's NBL,basketball,Basketball
Milwaukee Bucks,320,NBA,basketball,Basketball
Philadelphia Phillies,373,MLB,baseball,Baseball
Machida Zelvia,3181,2020 J. League 2,soccer,Soccer
Atalanta,2398,2019/2020 Serie A TIM,soccer,Soccer
Volna Pinsk,3314,2020 Belarus Division 1,soccer,Soccer
Tampa Bay Rowdies,3227,2020 USL,soccer,Soccer
NULL,3442,2020 Price Cutter Charity Championship Presented by Dr Pepper,golf,Golf
"Frolov, A",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Dalkurd FF,3284,2020 Superettan,soccer,Soccer
KF Laci,2444,2019/2020 Kategoria Superiore,soccer,Soccer
Athletic Bilbao,1181,2019/2020 Liga de Fútbol Profesional,soccer,Soccer
Winnipeg Jets,321,NHL,ice-hockey,Hockey
AGF Aarhus,1122,2019/2020 ALKA Superliga,soccer,Soccer
FC Nõmme United,3251,2020 Esiliiga A,soccer,Soccer
Partizani Tirana,2444,2019/2020 Kategoria Superiore,soccer,Soccer
"Pico, A",3000,2020 Bellator 85,mma,MMA
Brighton & Hove Albion,1180,England Premier League,soccer,Soccer
Västerås SK FK,3284,2020 Superettan,soccer,Soccer
"Bandejas, R",3000,2020 Bellator 85,mma,MMA
UD Almería,2366,2019/2020 LaLiga 1|2|3,soccer,Soccer
Armadale SC,3289,2020 PS4 National Premier Leagues Western,soccer,Soccer
Shandong Luneng Taishan,3155,2020 Chinese Super League,soccer,Soccer
Incheon United,3188,2020 Korea Republic K-League 1,soccer,Soccer
Degerfors IF,3284,2020 Superettan,soccer,Soccer
Denver Nuggets,320,NBA,basketball,Basketball
San Jose Earthquakes,3053,2020 MLS,soccer,Soccer
FC Honka,3412,2020 Veikkausliiga,soccer,Soccer
Adelaide City,3288,2020 PS4 National Premier Leagues South,soccer,Soccer
Tokyo Yakult Swallows,3377,2020 Nippon Professional Baseball,baseball,Baseball
Suwon FC,3255,2020 Korea Republic K-League 2,soccer,Soccer
Jönköpings Södra,3284,2020 Superettan,soccer,Soccer
Start,3351,2020 Eliteserien,soccer,Soccer
Great Britain Race,3214,2020 FIA Formula One World Championship,motor-sports,Motor Racing
